"Fips","Area","IndCode","Industry","2009"
"01000","Alabama","1","All industry total",169052
"01000","Alabama","2","  Private industries",137765
"01000","Alabama","3","    Agriculture, forestry, fishing, and hunting",2040
"01000","Alabama","4","      Farms",1424
"01000","Alabama","5","      Forestry, fishing, and related activities",616
"01000","Alabama","6","    Mining",2982
"01000","Alabama","7","      Oil and gas extraction",1289
"01000","Alabama","8","      Mining, except oil and gas",1606
"01000","Alabama","9","      Support activities for mining",87
"01000","Alabama","10","    Utilities",4965
"01000","Alabama","11","    Construction",7866
"01000","Alabama","12","    Manufacturing",25444
"01000","Alabama","13","      Durable goods manufacturing",13751
"01000","Alabama","14","        Wood products manufacturing",704
"01000","Alabama","15","        Nonmetallic mineral products manufacturing",724
"01000","Alabama","16","        Primary metals manufacturing",2189
"01000","Alabama","17","        Fabricated metal products",2129
"01000","Alabama","18","        Machinery manufacturing",962
"01000","Alabama","19","        Computer and electronic products manufacturing",1217
"01000","Alabama","20","        Electrical equipment, appliance, and components manufacturing",632
"01000","Alabama","21","        Motor vehicles, bodies and trailers, and parts manufacturing",1448
"01000","Alabama","22","        Other transportation equipment manufacturing",2756
"01000","Alabama","23","        Furniture and related products manufacturing",547
"01000","Alabama","24","        Miscellaneous manufacturing",444
"01000","Alabama","25","      Nondurable goods manufacturing",11694
"01000","Alabama","26","        Food and beverage and tobacco products manufacturing",2390
"01000","Alabama","27","        Textile mills and textile product mills",465
"01000","Alabama","28","        Apparel and leather and allied products manufacturing",254
"01000","Alabama","29","        Paper products manufacturing",2969
"01000","Alabama","30","        Printing and related support activities",204
"01000","Alabama","31","        Petroleum and coal products manufacturing",944
"01000","Alabama","32","        Chemical products manufacturing",3202
"01000","Alabama","33","        Plastics and rubber products manufacturing",1265
"01000","Alabama","34","    Wholesale trade",9712
"01000","Alabama","35","    Retail trade",12287
"01000","Alabama","36","    Transportation and warehousing",4471
"01000","Alabama","37","      Air transportation",90
"01000","Alabama","38","      Rail transportation",565
"01000","Alabama","39","      Water transportation",281
"01000","Alabama","40","      Truck transportation",1852
"01000","Alabama","41","      Transit and ground passenger transportation",110
"01000","Alabama","42","      Pipeline transportation",202
