State,Agriculture,Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail,Transportation,Information,Finance,Buss. Services,Education,Arts,Oth Serv.,Fed. civ,Fed. military,State

Alabama,2040,2982,4965,7866,25444,9712,12287,4471,4244,25185,16090,12957,4826,4694,7174,4367,19746

Alaska,305,14327,612,2143,1867,1026,1943,4510,948,5416,2884,2757,1273,737,1882,2398,4929

Arizona,1528,4687,5677,13167,20026,14283,18439,6859,6559,51282,27353,22549,10487,5231,6247,3833,25123

Arkansas,2537,2249,2467,4266,14010,7257,7070,4120,10864,14879,8641,8432,2797,2283,2326,1148,10494

California,25439,20279,27999,65707,229479,100603,109363,41864,134655,406685,236025,133118,71649,42069,34009,29132,198300

Colorado,2112,11330,3152,11612,19429,13309,14140,6386,20171,45343,34342,17061,10598,5944,6900,4766,21580

Connecticut,314,113,3998,6989,27665,12795,11314,4123,12134,69118,25348,21758,5781,4473,2488,2928,18668

Delaware,276,1,868,1750,4732,2258,2423,752,1210,23162,5992,4075,1488,868,659,632,4945

District of Columbia,2,0,1372,1011,238,828,1078,325,8073,11226,24224,7659,3687,6748,28892,3958,2604

Florida,5458,1278,16011,35659,38284,47080,53163,21177,29121,161861,85390,67777,41358,19643,14272,10225,73926

Georgia,3456,1285,8343,16154,45153,30967,24316,15093,23432,79201,47024,30154,13647,8703,11519,8751,36847

Hawaii,441,108,1428,4088,1302,2044,4377,2542,1467,14840,5694,5006,5251,1561,3489,5232,6215

Idaho,2494,809,867,2729,6326,2962,4179,1494,1161,9854,5690,4422,1684,1149,1495,663,6086

Illinois,5553,2456,11343,24773,81372,44713,34840,21557,22123,142403,84393,54706,21186,15910,10480,3949,55218

Indiana,3647,1394,5431,10038,69476,14093,16117,8727,5658,40311,20053,23677,9257,6302,4049,1638,22560

Iowa,7234,321,2412,5287,25488,8177,8220,4730,4257,27333,8223,10755,3954,3002,1669,781,14668

Kansas,4069,1771,2470,4487,17489,8253,7995,4579,5624,17938,11023,10041,3393,2948,2358,3269,13064

Kentucky,2322,5664,2831,6406,24673,10354,9907,7091,4133,22415,12263,14135,5101,3491,4139,4622,16601

Louisiana,1769,20980,3798,11964,39321,9825,13174,8523,3911,26737,16546,14951,8100,4560,3467,2655,19579

Maine,646,9,895,2150,5668,2565,4282,1175,1147,9944,4569,6568,2055,1088,1571,757,5229

Maryland,814,190,5828,14168,18895,13327,15578,5763,16862,63883,41803,26648,9466,7377,29024,8064,26724

